period,close,eps,ret,periodend
2022-12-25,25449.8496748577,2290.07167296516,9.01459981850887,31-Dec-2022
2023-01-01,25026.2929118599,1532.64756287859,6.15462661895539,07-Jan-2023
2023-01-08,25333.9485026032,1299.59972090641,5.12308735036467,14-Jan-2023
2023-01-15,26109.0216913936,1319.06834439346,5.0380575564383,21-Jan-2023
2023-01-22,27893.775502457,1439.8376245437,5.16185994404691,28-Jan-2023
2023-01-29,26282.6478821482,1648.06295953282,6.24894852338987,04-Feb-2023
2023-02-05,26848.8256609184,1789.97400036889,6.65938812533792,11-Feb-2023
2023-02-12,26134.8509736001,1479.01818403232,5.69141850353981,18-Feb-2023
2023-02-19,25076.7921191104,1320.16270845448,5.25483463959538,25-Feb-2023
2023-02-26,24558.9450963891,1475.60415968694,6.01220760692705,04-Mar-2023
2023-03-05,25065.3731523696,1360.17697017037,5.42810633174946,11-Mar-2023
2023-03-12,26101.9997443968,1366.1512423651,5.23613730401143,18-Mar-2023
2023-03-19,25851.0360970862,1442.41233669932,5.58226910526557,25-Mar-2023
2023-03-26,24457.7863389464,1293.43127804807,5.28996892075362,01-Apr-2023
2023-04-02,23470.3466362235,1585.17973523456,6.74037461265124,08-Apr-2023
2023-04-09,23687.530590622,1511.42957541515,6.38016983126939,15-Apr-2023
2023-04-16,25295.2027948645,1667.90208262164,6.59187298288562,22-Apr-2023
2023-04-23,25349.5748873411,1691.60092897077,6.65956884653931,29-Apr-2023
2023-04-30,23710.6096645174,1533.03382958312,6.46727126577821,06-May-2023
2023-05-07,23288.9380659836,1509.19973945635,6.47835343479832,13-May-2023
2023-05-14,24639.6033953926,1631.65976468842,6.6263453049876,20-May-2023
2023-05-21,24599.1076577804,1607.93328277844,6.52799478791791,27-May-2023
2023-05-28,23918.6679730418,1595.84022834664,6.66959127705457,03-Jun-2023
2023-06-04,25566.4180910095,1626.98611795002,6.35890355834038,10-Jun-2023
2023-06-11,26841.9246073494,1517.38240513419,5.65473063992557,17-Jun-2023
2023-06-18,27114.357650374,1524.66248279882,5.61725959418854,24-Jun-2023
2023-06-25,28248.2889414631,1540.90512703481,5.45508719606903,01-Jul-2023
2023-07-02,29201.7227469442,2176.19005802726,7.45169182447293,08-Jul-2023
2023-07-09,29739.9228188088,2129.53881482581,7.16417164515147,15-Jul-2023
2023-07-16,29200.2753374814,2051.67567967774,7.02967966579544,22-Jul-2023
2023-07-23,29080.3711763461,1886.55269113816,6.4832050628146,29-Jul-2023
2023-07-30,30184.8391527192,1951.55988427474,6.46420590866211,05-Aug-2023
2023-08-06,30299.0134381829,1889.47326554266,6.24564328217268,12-Aug-2023
2023-08-13,31857.04142373,1889.88747901874,5.93453586621571,19-Aug-2023
2023-08-20,32574.3399156018,2026.22109477726,6.22742387154339,26-Aug-2023
2023-08-27,33679.6156824153,2027.47524681387,6.01953252650975,02-Sep-2023
2023-09-03,33296.4526664224,2057.3201813298,6.18042741483024,09-Sep-2023
2023-09-10,32999.4895264502,2017.31121459012,6.11149277561602,16-Sep-2023
2023-09-17,33124.2920760106,2113.99230033429,6.38619726318332,23-Sep-2023
2023-09-24,31977.0447375316,2169.08484930837,6.79032381517822,30-Sep-2023
2023-10-01,31229.4800112119,1974.827065796,6.32468881723202,07-Oct-2023
2023-10-08,33457.1266353834,2042.83653869371,6.10681646163513,14-Oct-2023
2023-10-15,32595.2798108505,2151.14858034719,6.59802136435599,21-Oct-2023
2023-10-22,30546.5174802694,2033.29571999811,6.66410374302443,28-Oct-2023
2023-10-29,28811.9998571989,2030.98251009889,7.05383698266445,04-Nov-2023
2023-11-05,29193.0297740686,1760.70230678619,6.02912236051038,11-Nov-2023
2023-11-12,29607.0018539202,1758.32811802605,5.94137416572538,18-Nov-2023
2023-11-19,29544.5457555239,1639.0741194724,5.5538613148788,25-Nov-2023
2023-11-26,29236.6734440656,1744.23390971386,5.96940465640574,02-Dec-2023
2023-12-03,29829.7862863615,1704.61353626195,5.71523747320962,09-Dec-2023
2023-12-10,30833.2211210295,1748.95903992323,5.67514179467277,16-Dec-2023
